STORE_CODE,CITY,STATE,ZIP_CODE,OPEN_DATE,REVENUE,CUST_CNT,TRANS_CNT,FUTURE_REV,PLATINUM_PCT,GOLD_PCT,SILVER_PCT,BRONZE_PCT,MEDIUM_PCT,LOW_PCT,NEW_CNT,REACTIVATED_CNT,CONTINUING_CNT,NEW_PCT,REACTIVATED_PCT,CONTINUING_PCT,ONLINE_REVENUE,ONLINE_CUST_CNT,ONLINE_TRANS_CNT,ONLINE_FUTURE_REV,ONLINE_LESSTHAN5,ONLINE_BT5AND10,ONLINE_BT10AND15,ONLINE_BT15AND20,ONLINE_BT20AND25,ONLINE_BT25AND30,ONLINE_MORETHAN30,MAPPED_ZP_HHSIZE_AVG,MAPPED_ZP_AGE_MEDIAN,MAPPED_ZP_MALE_PERCENT,MAPPED_ZP_FEMALE_PERCENT,MAPPED_ZP_MARRIED_PERCENT,MAPPED_ZP_SINGLE_PERCENT,MAPPED_ZP_HHINCOME_MEDIAN,MAPPED_ZP_POPULATION,MAPPED_ZP_HISPANIC,MAPPED_ZP_WHITE,MAPPED_ZP_AFRICAN_AMERICAN,MAPPED_ZP_AM_IN_ALSK_NAT,MAPPED_ZP_ASIAN,MAPPED_ZP_NAT_HAW_PAC_ISLANDER,MAPPED_ZP_TWOPLUS_RACES,MAPPED_ZP_OTHER_RACE,STORE_SIZE,STORE_MALL_TYPE,STORE_MALL_SUBTYPE,CLIMATE_Q1,CLIMATE_Q2,CLIMATE_Q3,CLIMATE_Q4,STORE_LAUNCH
1689,Orlando,FL,32839,4/4/2006,2621420.265,13795,20050,6720965.775,5.23,13.62,11.21,26.91,19.46,23.57,6995,2202,4984,49.33,15.53,35.15,7818201.06,15125,41897,4852173.3,915,3900,2812,1779,810,314,4595,2.855128205,38.27088608,0.505614897,0.494385103,0.4643,0.5357,56341.03919,28764.7625,8843.9375,13312.275,4502.625,42.9125,1236.425,17.3875,633.4125,175.7875,5617,Mall,A,HOT,HOT,HOT,HOT,2006
1691,Estero,FL,33928,1/23/2007,1308637.83,7061,10219,4291683.99,6.9,14.84,12.36,27.9,19.77,18.22,3069,1186,2977,42.44,16.4,41.16,3146466.09,6282,16901,2190855.51,493,1015,2072,1161,474,131,936,2.666041667,48.0755102,0.488541927,0.511458073,0.510285714,0.489714286,56468.82134,20823.22449,4762.959184,13804.89796,1651.326531,35.44897959,299.4897959,2.959183673,226.0204082,40.12244898,4507,Mall,Hybrid,HOT,HOT,HOT,HOT,2007
1694,Walnut Creek,CA,94596,10/3/2006,3883610.145,17968,29505,10883808.69,7.12,18.31,13.66,24.72,18.37,17.82,7358,2959,8238,39.66,15.95,44.4,9500663.175,17076,47980,6962057.325,4701,3959,2952,2729,1195,392,1148,2.7798,41.03921569,0.490274495,0.509725505,0.531705882,0.468294118,91559.5092,27632.38462,5978.25,12722.25,2261.192308,68.84615385,5017.134615,175.3653846,1341.288462,68.05769231,6611,Lifestyle,A,COLD,HOT,COLD,COLD,2006
1701,New York,NY,10019,2/5/2004,13418285.64,56820,88027,42529251.12,9.37,19.3,13.39,22.75,14.87,20.33,23680,8690,26467,40.25,14.77,44.98,4610094.015,6670,20095,3541241.895,6458,212,0,0,0,0,0,2.324,38.09,0.500438346,0.499561655,0.4157,0.5843,65957.30858,38306.3,18249.1,14250.7,1194.5,38.2,3902.7,12.8,485.3,173,11032,Mall,Urban Specialty,COLD,HOT,COLD,COLD,2004
1703,Towson,MD,21204,5/15/2007,2368674.375,11670,19009,7448671.26,7.33,18.58,14.86,29.52,16.76,12.94,4500,2028,5588,37.14,16.74,46.12,8410880.625,15374,44310,5413526.625,4698,2578,1233,1264,409,313,4879,2.665846154,41.8969697,0.490682932,0.509317068,0.531746269,0.468253731,80495.67986,14984.35294,588.4264706,9394.058824,3958.191176,19.19117647,675.2794118,2.117647059,312.7794118,34.30882353,4721,Mall,A,COLD,HOT,COLD,COLD,2007
1705,Thousand Oaks,CA,91360,5/22/2007,2352610.095,10594,17794,4459158.015,4.36,13.04,11.44,26.06,24.78,20.32,5187,1722,3964,47.71,15.84,36.46,7199732.73,13842,36239,5404152.45,1989,1987,1151,711,513,329,7162,3.3725,38.72758621,0.50867069,0.49132931,0.516689655,0.483310345,81635.21491,30883.86667,12467.16667,14763.66667,538.8,80.83333333,2162.333333,45.36666667,793.6,32.1,5120,Mall,A-,COLD,HOT,COLD,COLD,2007
1706,Sacramento,CA,95815,8/7/2007,2744882.67,13144,21855,5838933.06,4.71,13.4,10.78,23.13,23.92,24.06,7064,1790,4702,52.11,13.2,34.69,10282717.97,19934,54636,6853859.1,3654,3101,2757,2753,921,315,6433,2.802891566,38.28915663,0.494706936,0.505293064,0.480156627,0.519843373,66117.69787,25237.95181,5548.313253,12817.50602,1846.156627,88.72289157,3440.53012,208.7228916,1210.337349,77.6626506,5718,Mall,A,COLD,HOT,COLD,COLD,2007
1709,Shrewsbury,NJ,07702,11/20/2007,4397071.71,14691,29268,12703665.23,10.69,21.74,16.38,26.31,12.9,11.98,4591,2653,7986,30.14,17.42,52.44,9697753.92,16960,47574,7178647.65,4323,2845,3806,3099,1844,644,399,2.63,44.69848485,0.485192001,0.514807999,0.527272727,0.472727273,83065.44682,17120.60606,1869.924242,13220.27273,903.530303,9.181818182,844.2424242,4.46969697,238.0606061,30.92424242,7011,Lifestyle,Suburban Specialty,COLD,HOT,COLD,COLD,2007
1711,New Canaan,CT,06840,5/25/2007,3289496.625,10366,21210,12147473.52,15.86,27.66,15.35,21.45,10.18,9.51,2275,1539,6943,21.15,14.31,64.54,10042701.83,14397,46412,7536803.04,5425,4089,1620,1431,841,299,692,2.784166667,43.725,0.480838996,0.519161004,0.58625,0.41375,125478.6787,12972.27778,2084.333333,9317.777778,620.8888889,16.08333333,631.0833333,3.694444444,191.5,106.9166667,4779,Street,Metro Area Street,COLD,HOT,COLD,COLD,2007
1713,El Segundo,CA,90245,8/21/2007,2617160.16,12511,20123,7126430.16,6.27,18.17,13.41,25.36,19.25,17.53,5269,1945,5698,40.81,15.06,44.13,3668411.79,6641,17941,3074138.55,5569,992,80,0,0,0,0,3.019333333,35.84,0.473975061,0.526024939,0.385133333,0.614866667,61949.59071,40886,21194.13333,5631,11246.2,62.2,1583.2,68.73333333,964.6666667,135.8666667,4953,Lifestyle,Power Style,COLD,HOT,COLD,COLD,2007
